2019-06-21 00:00:00, 2019-06-22 00:00:00, Pump failure
2019-07-16 11:30:00, 2019-07-16 12:00:00, Rime removal
2019-07-17 10:30:00, 2019-07-17 11:00:00, Rime removal
2019-07-23 11:45:00, 2019-07-23 12:15:00, Rime removal
2019-07-30 12:00:00, 2019-07-30 12:55:00, Soldering in MSF
2019-07-30 18:00:00, 2019-07-30 18:55:00, Soldering in MSF
2019-08-02 10:45:00, 2019-08-02 11:15:00, Rime removal
2019-08-15 11:00:00, 2019-08-15 12:00:00, Heavy equipment around msf
2019-08-15 18:00:00, 2019-08-15 20:45:00, LN2 calibration
2019-08-16 10:00:00, 2019-08-16 20:00:00, Generator outside MSF
2019-08-17 11:18:00, 2019-08-17 13:22:00, LN2 calibration
2019-08-16 11:00:00, 2019-08-16 20:00:00, Vehicles around MSF
2019-08-17 11:00:00, 2019-08-17 22:30:00, Vehicles around MSF
2019-09-20 11:50:00, 2019-09-20 12:00:00, Soldering in MSF
2020-01-20 12:10:00, 2020-01-20 14:15:00, Heavy equipment around MSF
2020-03-18 13:30:00, 2020-03-19 17:20:00, Heavy equipment around big house
2020-04-10 18:15:00, 2020-04-10 19:15:00, Soldering and heavy equipment
2020-04-28 18:30:00, 2020-04-28 18:45:00, Soldering in MSF
2020-06-02 13:55:00, 2020-06-02 14:10:00, Soldering in MSF
2020-06-06 12:37:00, 2020-06-06 13:15:00, Soldering in MSF
2020-06-09 18:02:00, 2020-06-09 18:29:00, Soldering in MSF
